"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Goldin, Ilya M.","Koedinger, Kenneth R.","Aleven, Vincent",,,,,,,
"Goldin, Ilya M.","Koedinger, Kenneth R.","Aleven, Vincent",,,,,,,
"Goldstein, Adam","Baker, Ryan S.J.d.","Heffernan, Neil T.",,,,,,,
"Gong, Yue","Beck, Joseph E.",,,,,,,,
"Gong, Yue","Beck, Joseph E.","Heffernan, Neil T.",,,,,,,
"Gong, Yue","Rai, Dovan","Beck, Joseph E.","Heffernan, Neil T.",,,,,,
"González-Brenes, José P.","Brusilovsky, Peter","Kumar, Rohit","Huang, Yun",,,,,,
"González-Brenes, José P.","Duan, Weisi","Mostow, Jack",,,,,,,
"González-Brenes, José P.","Huang, Yun",,,,,,,,
"González-Brenes, José P.","Huang, Yun","Brusilovsky, Peter",,,,,,,
"González-Brenes, José P.","Mostow, Jack",,,,,,,,
"González-Brenes, José P.","Mostow, Jack",,,,,,,,
"González-Brenes, José P.","Mostow, Jack",,,,,,,,
"González, Carina","Toledo, Pedro A.",,,,,,,,
"Goslin, Kyle","Hofmann, Markus",,,,,,,,
"Goutte, Cyril","Léger, Serge","Durand, Guillaume",,,,,,,
"Gowda, Sujith M.","Rowe, Jonathan P.","Baker, Ryan S.J.d.","Chi, Min","Koedinger, Kenneth R.",,,,,
"Grafsgaard, Joseph F.","Wiggins, Joseph B.","Boyer, Kristy Elizabeth","Wiebe, Eric N.","Lester, James C.",,,,,
"Grafsgaard, Joseph F.","Wiggins, Joseph B.","Boyer, Kristy Elizabeth","Wiebe, Eric N.","Lester, James C.",,,,,
"Gray, Geraldine","McGuinness, Colm","Owende, Philip",,,,,,,
"Gray, Geraldine","McGuinness, Colm","Owende, Philip",,,,,,,
"Gross, Markus","Solenthaler, Barbara","Klingler, Severin","Käser, Tanja",,,,,,
"Guerra-Hollstein, Julio D.","Brusilovsky, Peter","Huang, Yun",,,,,,,
"Guerra, Julio","Sahebi, Shaghayegh","Brusilovsky, Peter","Lin, Yu-Ru",,,,,,
"Gutierrez-Santos, Sergio","Mavrikis, Manolis","Poulovassilis, Alex","Zhu, Zheng",,,,,,
"Gutierrez-Santos, Sergio","Poulovassilis, Alexandra","Mavrikis, Manolis",,,,,,,
"Hao, Jiangang","Liu, Lei","Kyllonen, Patrick","Kitchen, Christopher","Von Davier, Alina A.",,,,,
"Hardof-Jaffe, Sharon","Hershkovitz, Arnon","Abu-Kishk, Hama","Bergman, Ofer","Nachmias, Rafi",,,,,
"Hardof-Jaffe, Sharon","Hershkovitz, Arnon","Azran, Ronit","Nachmias, Rafi",,,,,,
"Harpstead, Erik","MacLellan, Christopher J.","Koedinger, Kenneth R.","Aleven, Vincent","Dow, Steven P.","Myers, Brad A.",,,,
"Hawkins, William","Heffernan, Neil T.","Wang, Yutao","Baker, Ryan S.J.d.",,,,,,
"Hayashi, Yugo",,,,,,,,,
"He, Qiwei","Veldkamp, Bernard P.","Westerhof, Gerben J.",,,,,,,
"Heiner, Cecily",,,,,,,,,
"Heiner, Cecily","Zachary, Joseph",,,,,,,,
"Hernando, Manuel","Guzmán, Eduardo","Andres, Eric","Narciss, Susanne","Sosnovsky, Sergey",,,,,
"Herold, James","Zundel, Alexander E.","Stahovich, Thomas F.",,,,,,,
"Hershkovitz, Arnon","Baker, Ryan S.J.d.","Gobert, Janice D.","Wixon, Michael",,,,,,
"Hershkovitz, Arnon","Baker, Ryan S.J.d.","Gowda, Sujith M.","Corbett, Albert T.",,,,,,
"Hershkovitz, Arnon","Merceron, Agathe","Shamaly, Amran",,,,,,,
"Hershkovitz, Arnon","Nachmias, Rafi",,,,,,,,
"Hershkovitz, Arnon","Nachmias, Rafi",,,,,,,,
"Hershkovitz, Arnon","Nachmias, Rafi",,,,,,,,
"Hicks, Andrew",,,,,,,,,
"Hicks, Drew","Liu, Zhongxiu","Eagle, Michael J.","Barnes, Tiffany",,,,,,
"Howard, Larry","Johnson, Julie","Neitzel, Carin",,,,,,,
"Hsiao, I-Han","Chae, Hui Soo","Baker, Ryan S.J.d.","Natriello, Gary","Malhotra, Manav",,,,,
"Huang, Yun","Brusilovsky, Peter",,,,,,,,
"Hübscher, Roland","Puntambekar, Sadhana",,,,,,,,
"Hughes, Charles E.","Barmaki, Roghayeh",,,,,,,,
"Hutt, Stephen","Mills, Caitlin","White, Shelby","Donnelly, Patrick J.","D'Mello, Sidney K. D.",,,,,
"Ignatov, Dmitry","Mamedova, Serafima","Romashkin, Nikita","Shamshurin, Ivan",,,,,,
"Inventado, Paul Salvador","Legaspi, Roberto","Cabredo, Rafael","Numao, Masayuki",,,,,,
"Inventado, Paul Salvador","Legaspi, Roberto","Numao, Masayuki",,,,,,,
"Inventado, Paul Salvador","Legaspi, Roberto","Suarez, Merlin","Numao, Masayuki",,,,,,
"Inventado, Paul Salvador","Scupelli, Peter","Van Inwegen, Eric G.","Ostrow, Korinn S.","Heffernan, Neil T.","Ocumpaugh, Jaclyn L.","Baker, Ryan S.J.d.","Slater, Stefan","Almeda, Mia",
"Ivančević, Vladimir","Čeliković, Milan","Luković, Ivan",,,,,,,
"Jacovina, Matthew E.","Snow, Erica L.","Allen, Laura K.","Roscoe, Rod D.","Weston, Jennifer L.","Dai, Jianmin","McNamara, Danielle S.",,,
"Janning, Ruth","Schatten, Carlotta","Schmidt-Thieme, Lars",,,,,,,
"Jarušek, Petr","Klusacek, Matej","Pelánek, Radek",,,,,,,
"Jędrzejewski, Krzysztof","Bogucki, Mikołaj","Olszewski, Mikołaj","Łodzikowski, Kacper","Zwoliński, Jan",,,,,
"Jeffrey, Rogers","John, Leo","Passonneau, Rebecca J.","Mctavish, Thomas S.",,,,,,
